dish_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,calorie_label
Nabati Cheese Wafers,145,1.5,7.0,20.0,🟡 中卡
Ramen with meat,600,25.0,20.0,70.0,🔴 高卡
Fried Chicken with Topping,600,40.0,35.0,20.0,🔴 高卡
Fried Tofu with Chilies,300,15.0,20.0,25.0,🔴 高卡
NFC Juice,120,0.5,0.5,30.0,🟡 中卡
Sweet or Savory Crumble,500,10.0,30.0,50.0,🔴 高卡
Vegetable Chutney,150,3.0,5.0,25.0,🟡 中卡
Tiramisu and Cream Cake,800,10.0,40.0,100.0,🔴 高卡
Mixed Fruit and Chicken,450,25.0,15.0,60.0,🔴 高卡
Shrimp Spaghetti,600,25.0,15.0,80.0,🔴 高卡
Bread Rolls with Sauce,400,15.0,10.0,60.0,🔴 高卡
Pastry with fruit filling,150,2.0,6.0,22.0,🟡 中卡
Spiced Potato Sticks,250,3.0,10.0,35.0,🔴 高卡
Tomato Soup with Bread and Cheese,600,25.0,30.0,50.0,🔴 高卡
Caramel Hot Chocolate,300,4.0,10.0,50.0,🔴 高卡
Wild Red Fruits,50,1.0,0.2,12.0,🟢 低卡
Fried Shrimp and Sandwich,600,20.0,30.0,60.0,🔴 高卡
Couscous with vegetables and meat,600,30.0,20.0,80.0,🔴 高卡
Stir-fried Zucchini and Green Peppers,250,10.0,15.0,20.0,🔴 高卡
Frozen Dessert with Egg,250,10.0,15.0,20.0,🔴 高卡
Fried Noodles and Rice Porridge,600,20.0,15.0,85.0,🔴 高卡
Beef and Greens Stir-Fry,450,30.0,20.0,25.0,🔴 高卡
Stir-fried Meatballs with Cucumber,450,25.0,20.0,30.0,🔴 高卡
Grilled Chicken Salad with Bread,600,30.0,25.0,60.0,🔴 高卡
Avocado Smoothie,300,5.0,20.0,30.0,🔴 高卡
Avocado Toast with Boiled Eggs,350,15.0,20.0,30.0,🔴 高卡
Egg and Bacon Sandwich,600,25.0,30.0,50.0,🔴 高卡
Mixed Fruit Drinks,150,0.0,0.0,38.0,🟡 中卡
Dumplings and Egg Bread,600,30.0,25.0,70.0,🔴 高卡
Pork with sides,800,60.0,45.0,50.0,🔴 高卡
Roasted Vegetables and Potatoes,350,10.0,15.0,45.0,🔴 高卡
Pistachio Roll,200,3.0,10.0,25.0,🟡 中卡
Pork Bun,400,20.0,15.0,50.0,🔴 高卡
Matcha Pancakes,600,10.0,20.0,90.0,🔴 高卡
Gyoza and Stir-fried Vegetables,800,40.0,30.0,90.0,🔴 高卡
Strawberry Salad,150,2.0,1.0,35.0,🟡 中卡
Stir-fried flat noodles,300,8.0,10.0,45.0,🔴 高卡
Chocolate-covered pastry,350,5.0,15.0,50.0,🔴 高卡
Stir-fried Green Beans with Bacon,300,20.0,15.0,25.0,🔴 高卡
Fried Chicken with Tteokbokki,800,50.0,45.0,60.0,🔴 高卡
Bowl with rice and vegetables,600,30.0,15.0,80.0,🔴 高卡
Roti Canai with Dipping Sauce,400,10.0,20.0,50.0,🔴 高卡
Vegetable and Fish Patties,250,20.0,15.0,10.0,🔴 高卡
Muffin and Dumplings,400,10.0,15.0,60.0,🔴 高卡
Rice with BBQ Pork and Fried Egg,700,40.0,30.0,70.0,🔴 高卡
Pan-fried Fish,250,25.0,15.0,0.0,🔴 高卡
Stuffed Crepes,600,15.0,20.0,80.0,🔴 高卡
Nut and Fruit Bar,250,5.0,10.0,35.0,🔴 高卡
Assorted Rice Toppings,600,20.0,25.0,70.0,🔴 高卡
Sweets (possibly coconut balls),300,5.0,10.0,50.0,🔴 高卡
Chicken Rice Skillet,800,40.0,30.0,90.0,🔴 高卡
Low Sugar Cookie,100,2.0,4.5,14.0,🟡 中卡
Mixed Vietnamese Cuisine,600,25.0,30.0,50.0,🔴 高卡
Mixed Meat and Cabbage Dish,600,30.0,25.0,50.0,🔴 高卡
Beef with Green Vegetables,450,30.0,20.0,15.0,🔴 高卡
Chicken with Noodles and Vegetables,600,35.0,25.0,60.0,🔴 高卡
Crawfish and Meat Dish,800,60.0,40.0,50.0,🔴 高卡
Flavored Beverage,110,0.0,0.0,27.5,🟡 中卡
Banana and Cream,300,10.0,5.0,50.0,🔴 高卡
Rice with toppings and side dish,600,15.0,20.0,80.0,🔴 高卡
Baked Dish with Toppings,350,10.0,15.0,45.0,🔴 高卡
Caprese Sandwich,450,25.0,20.0,50.0,🔴 高卡
Grilled Squid with Tomatoes,300,40.0,10.0,15.0,🔴 高卡
Grilled Chicken with Flatbreads,700,50.0,30.0,60.0,🔴 高卡
Mixed Plate with Rice and Salad,600,30.0,20.0,70.0,🔴 高卡
Spicy Chicken Rice Bowl,600,25.0,20.0,80.0,🔴 高卡
Construction-themed cake,350,4.0,15.0,50.0,🔴 高卡
Omelet with Meat Sauce,600,30.0,25.0,50.0,🔴 高卡
Scrambled Eggs with Cherry Tomatoes,300,18.0,20.0,10.0,🔴 高卡
Stir-fried Greens with Pork,250,20.0,10.0,15.0,🔴 高卡
Lemon Cake Snack,150,2.0,5.0,25.0,🟡 中卡
Steamed Tofu,250,20.0,15.0,10.0,🔴 高卡
Mixed Mushroom Stir-fry,250,15.0,10.0,30.0,🔴 高卡
Meat Rolls and Dumplings,600,40.0,30.0,50.0,🔴 高卡
Egg and Meat Dish,600,30.0,35.0,40.0,🔴 高卡
Herb-Crusted Salmon,250,25.0,15.0,0.0,🔴 高卡
Cooked Crustaceans,250,30.0,10.0,5.0,🔴 高卡
Decorative Pastries,300,5.0,10.0,45.0,🔴 高卡
Canned Fruit,150,1.0,0.5,35.0,🟡 中卡
Raw Chicken and Pork Belly,400,25.0,30.0,0.0,🔴 高卡
Fried Fritter,300,10.0,15.0,30.0,🔴 高卡
Beef with Broccoli and Rice,600,40.0,20.0,70.0,🔴 高卡
Spicy Glass Noodles,250,5.0,10.0,35.0,🔴 高卡
Egg Yolk Cake,250,5.0,10.0,35.0,🔴 高卡
Noodle Salad with Egg,600,25.0,20.0,80.0,🔴 高卡
Blueberry Cookies,150,2.0,6.0,22.0,🟡 中卡
Healthy Cereal Meal,250,10.0,5.0,40.0,🔴 高卡
Stuffed Vegetables with Yogurt,600,30.0,25.0,60.0,🔴 高卡
Fried Meat Salad,600,25.0,30.0,50.0,🔴 高卡
Stir-fried Green Vegetables with Mushrooms,250,8.0,10.0,30.0,🔴 高卡
Beef Stir Fry with Fries,800,40.0,30.0,90.0,🔴 高卡
Scrambled Eggs with Pasta and Salad,600,30.0,20.0,70.0,🔴 高卡
Grilled Meat with Rice and Egg,700,40.0,30.0,70.0,🔴 高卡
Smoked Fish,250,20.0,15.0,0.0,🔴 高卡
Pork with potatoes and pasta,600,30.0,20.0,70.0,🔴 高卡
Sweet and Sour Pork with Rice,600,30.0,20.0,70.0,🔴 高卡
Mixed Meal Tray,450,15.0,20.0,50.0,🔴 高卡
Fried Rice with Vegetables and Fried Chicken,600,25.0,20.0,80.0,🔴 高卡
Spicy Sausage,600,25.0,30.0,50.0,🔴 高卡
Stir-fried shellfish,250,20.0,10.0,30.0,🔴 高卡
Flavored Latte,300,5.0,10.0,45.0,🔴 高卡
Chicken-flavored chips,200,5.0,10.0,25.0,🟡 中卡
Fried Tofu and Fried Snacks,600,25.0,30.0,50.0,🔴 高卡
Fried Bread with Drink,300,5.0,10.0,45.0,🔴 高卡
Peach Rice Drink,50,0.5,0.1,12.0,🟢 低卡
Fish Stew with Bread,600,40.0,20.0,50.0,🔴 高卡
Cheesy Baked Egg,200,12.0,15.0,1.0,🟡 中卡
Stir-fried vegetables with meat and scrambled eggs,800,40.0,30.0,100.0,🔴 高卡
Fermented Milk Drink,120,4.0,3.5,18.0,🟡 中卡
Dumpling Stir-fry,350,20.0,15.0,40.0,🔴 高卡
Spicy Grilled Seafood,400,30.0,15.0,20.0,🔴 高卡
Kebabs with flatbread,600,40.0,30.0,50.0,🔴 高卡
Vegetable and Legume Stir-fry,250,12.0,10.0,30.0,🔴 高卡
Noodles with Egg and Sausage,600,20.0,25.0,70.0,🔴 高卡
Tofu and Vegetable Soup,350,20.0,15.0,30.0,🔴 高卡
Mixed Skewers with Bread,800,50.0,30.0,90.0,🔴 高卡
Vegetable and Protein Bowl,600,30.0,20.0,80.0,🔴 高卡
Honey Butter Potato Sticks,200,2.0,10.0,30.0,🟡 中卡
Meat and Spinach Soup,350,25.0,15.0,30.0,🔴 高卡
Milk Oats,150,5.0,3.0,27.0,🟡 中卡
Wafer Biscuits,150,2.0,6.0,22.0,🟡 中卡
Mixed Skewers and Vegetable Stir-fry,600,30.0,25.0,70.0,🔴 高卡
BLT Sandwich,450,25.0,20.0,40.0,🔴 高卡
Sweet and Spicy Meat with Rice Cakes,600,30.0,25.0,70.0,🔴 高卡
Stir-fried Mushrooms with Eggs,350,20.0,15.0,30.0,🔴 高卡
Egg Dish with Herbs,300,15.0,20.0,10.0,🔴 高卡
Savory Rice with Sauce,800,25.0,30.0,100.0,🔴 高卡
Braised Meat with Side Dish,600,50.0,40.0,20.0,🔴 高卡
Penang Fried Oyster,400,25.0,20.0,30.0,🔴 高卡
Salmon Toast with Salad,600,25.0,30.0,50.0,🔴 高卡
Stir-fried vegetables with rice and meat,800,40.0,20.0,100.0,🔴 高卡
Grilled Chicken and Vegetables,600,50.0,30.0,20.0,🔴 高卡
Banli Su,150,2.0,6.0,22.0,🟡 中卡
Chicken Wrap with Sweet Potato Fries,600,30.0,20.0,80.0,🔴 高卡
Sashimi with Beef,250,20.0,15.0,10.0,🔴 高卡
Noodles with sides,600,15.0,20.0,80.0,🔴 高卡
Mixed Meat and Vegetables with Soup,600,40.0,30.0,50.0,🔴 高卡
Fruit Plate,150,1.0,0.5,35.0,🟡 中卡
Egg and Green Vegetable Stir-fry,300,20.0,15.0,25.0,🔴 高卡
Grilled Skewered Vegetables,150,3.0,5.0,20.0,🟡 中卡
Spicy Sunflower Seed Salad,600,20.0,50.0,30.0,🔴 高卡
Barbecue Pork,350,30.0,20.0,5.0,🔴 高卡
Mixed Preserved Meat,300,20.0,15.0,10.0,🔴 高卡
Chocolate Puffs,150,3.0,5.0,25.0,🟡 中卡
Cheesy Stuffed Bread,350,12.0,15.0,40.0,🔴 高卡
Fried Soybeans,500,15.0,30.0,50.0,🔴 高卡
Stir-fried tofu,250,15.0,10.0,30.0,🔴 高卡
Broccoli and Wood Ear Mushroom Stir-fry,150,6.0,5.0,20.0,🟡 中卡
Mango Pizza,800,35.0,30.0,90.0,🔴 高卡
Apple and Bananas,210,2.5,0.5,54.0,🟡 中卡
Bread Rolls and Soup,400,10.0,15.0,60.0,🔴 高卡
Red Fruits,150,1.0,0.5,35.0,🟡 中卡
Steamed Squash,50,1.5,0.2,12.0,🟢 低卡
Meat Stir-fry with Rice,600,40.0,30.0,50.0,🔴 高卡
Stir-fried rice with beef and vegetables,600,30.0,20.0,70.0,🔴 高卡
Cheese Bread and Fried Dish,600,15.0,30.0,70.0,🔴 高卡
Mango dessert,250,3.0,8.0,40.0,🔴 高卡
Powdered Milk Drink,120,5.0,2.5,20.0,🟡 中卡
Caramel Cream Dessert,300,4.0,15.0,40.0,🔴 高卡
Decorative Buttercream Rose,150,1.0,10.0,15.0,🟡 中卡
Skewered Rice Cakes,300,5.0,10.0,45.0,🔴 高卡
Raw Mushroom,22,3.1,0.3,3.3,🟢 低卡
Matcha Dessert Set,450,10.0,15.0,70.0,🔴 高卡
Cheese-filled bread,300,8.0,15.0,35.0,🔴 高卡
Rice Porridge with Vegetable Soup,200,5.0,2.0,40.0,🟡 中卡
Assorted Biscuits,400,5.0,20.0,60.0,🔴 高卡
Tofu and Pea Stir Fry,350,20.0,15.0,30.0,🔴 高卡
Jelly with Cream,250,6.0,5.0,45.0,🔴 高卡
Pork Chop with Mashed Potatoes and Vegetables,700,50.0,40.0,30.0,🔴 高卡
Fried Vegetable Skewer,250,5.0,10.0,35.0,🔴 高卡
Fried Shrimp with Noodles,600,30.0,25.0,70.0,🔴 高卡
Shanye Baagu Cake with Skewers,600,30.0,25.0,70.0,🔴 高卡
Stir-fried green vegetables with meat,300,20.0,10.0,30.0,🔴 高卡
Rainbow Cake,250,3.0,10.0,35.0,🔴 高卡
Rice Bowl with Eggs and Vegetables,600,30.0,25.0,70.0,🔴 高卡
Pejoy Biscuit,200,3.0,8.0,30.0,🟡 中卡
Bounty Chocolate Bar,150,1.5,7.5,20.0,🟡 中卡
Wholemeal Pumpernickel Bread,150,5.0,3.0,28.0,🟡 中卡
Chicken Manchurian,300,25.0,15.0,20.0,🔴 高卡
Curried Chicken,600,40.0,30.0,20.0,🔴 高卡
Chili Sausage Triple Cheese Sandwich,250,10.0,12.0,30.0,🔴 高卡
Sweet Tofu with Peanuts,250,8.0,5.0,40.0,🔴 高卡
Mixed Chicken Bowl,600,30.0,20.0,70.0,🔴 高卡
Canned Black Olives,115,0.8,11.0,6.0,🟡 中卡
Street Food Wrap,500,15.0,20.0,60.0,🔴 高卡
Rolled Omelette,300,12.0,10.0,40.0,🔴 高卡
Seafood and Meat Stir-fry,800,50.0,40.0,60.0,🔴 高卡
Animal Brain Dish,250,15.0,20.0,0.0,🔴 高卡
Skewered Spicy Meat,250,10.0,15.0,20.0,🔴 高卡
Spicy Mixed Stew,600,30.0,20.0,80.0,🔴 高卡
Meat and Potato Stew with Eggplant,600,35.0,25.0,60.0,🔴 高卡
Grilled Meat Skewers with Fries,800,50.0,40.0,60.0,🔴 高卡
Sweet Powder,100,1.0,0.5,25.0,🟡 中卡
Baked Apple Cake,250,5.0,10.0,35.0,🔴 高卡
Stewed Chicken Feet,300,25.0,15.0,0.0,🔴 高卡
Curry Noodles with Meat,800,40.0,30.0,90.0,🔴 高卡
Chicken Wings with Broccoli,250,20.0,15.0,5.0,🔴 高卡
Chicken Rice with Egg and Sausage,700,35.0,25.0,80.0,🔴 高卡
Sweet ball,50,0.5,1.5,10.0,🟢 低卡
Mixed Plate with Noodles,600,30.0,25.0,70.0,🔴 高卡
Spicy Chicken Sandwich with Fries,800,35.0,40.0,70.0,🔴 高卡
Baked Vegetable Dish,600,30.0,25.0,70.0,🔴 高卡
Braised Pork Noodles,600,40.0,30.0,50.0,🔴 高卡
Rice and Beans with Meat,800,40.0,30.0,90.0,🔴 高卡
Fried Chicken Sushi Roll,500,25.0,20.0,60.0,🔴 高卡
Fruit and Coconut Snack,150,1.0,5.0,25.0,🟡 中卡
Stir-fried Eggs with Leeks,300,10.0,15.0,30.0,🔴 高卡
Mixed Plate with Tofu and Beans,600,30.0,20.0,70.0,🔴 高卡
Cream Cups,300,5.0,15.0,35.0,🔴 高卡
Stir-fried dish with sauce,300,20.0,15.0,30.0,🔴 高卡
Jelly Meat,250,15.0,10.0,30.0,🔴 高卡
Vegetable and Chicken Wrap,450,25.0,15.0,50.0,🔴 高卡
Grilled Mixed Seafood and Meat,800,60.0,50.0,20.0,🔴 高卡
Bread with meat,300,15.0,10.0,40.0,🔴 高卡
Meat Stew with Egg,600,40.0,30.0,50.0,🔴 高卡
Frozen Crab Legs,200,40.0,2.0,0.0,🟡 中卡
Coffee and Fries,600,10.0,30.0,70.0,🔴 高卡
Cake Roll,350,5.0,15.0,50.0,🔴 高卡
Pasta with Poached Egg,600,25.0,20.0,80.0,🔴 高卡
Bread with toppings,250,8.0,3.5,45.0,🔴 高卡
Sausages with side dishes,600,25.0,30.0,50.0,🔴 高卡
Braised Meat with Pineapple,600,40.0,30.0,50.0,🔴 高卡
Fried Egg Wrap,450,15.0,20.0,50.0,🔴 高卡
Cheesy Meat Pastry,450,20.0,25.0,30.0,🔴 高卡
Spicy Tofu and Meat Stir-fry,600,40.0,30.0,50.0,🔴 高卡
Shrimp and Rice Balls,600,30.0,20.0,80.0,🔴 高卡
Nut Strudel,250,5.0,10.0,35.0,🔴 高卡
Sukiyaki Beef,250,15.0,20.0,0.0,🔴 高卡
Bone broth base,250,15.0,20.0,0.0,🔴 高卡
Stuffed Passion Fruit,150,2.0,5.0,25.0,🟡 中卡
Sesame Cucumber Salad,50,1.5,2.0,10.0,🟢 低卡
Roasted Duck and Meats,800,60.0,50.0,20.0,🔴 高卡
Salad with Dumplings,600,15.0,20.0,80.0,🔴 高卡
Super Green Meal,100,10.0,2.0,15.0,🟡 中卡
Crawfish and mixed vegetables,800,50.0,30.0,70.0,🔴 高卡
Soft-Boiled Egg,150,12.5,10.5,1.0,🟡 中卡
Cheese-filled bread rolls,250,8.0,10.0,30.0,🔴 高卡
Fried Potato Slice,50,0.5,0.1,12.0,🟢 低卡
Fruit-Topped French Toast,350,8.0,15.0,50.0,🔴 高卡
Instant Tomato Soup,250,7.0,5.0,40.0,🔴 高卡
Tomato and Egg Stew,300,20.0,15.0,30.0,🔴 高卡
Fried Rice with Vegetables and Pumpkin,600,20.0,15.0,90.0,🔴 高卡
Mixed Fruit and Cereal,150,3.0,2.0,30.0,🟡 中卡
Potato and Pea Curry,250,5.0,10.0,35.0,🔴 高卡
Stir-fried Greens with Shrimp,150,7.0,5.0,20.0,🟡 中卡
Plant-based protein powder,150,6.0,5.0,20.0,🟡 中卡
Soba Noodles with Sashimi,600,30.0,15.0,80.0,🔴 高卡
Noodles with Ham,350,12.0,15.0,40.0,🔴 高卡
Oat Flour,389,16.9,7.0,66.3,🔴 高卡
Big Mac with Fries,800,25.0,40.0,90.0,🔴 高卡
Chicken Porridge with Corn,600,40.0,20.0,70.0,🔴 高卡
Sweet Glutinous Rice Balls,200,3.0,1.5,45.0,🟡 中卡
Sausages with Dumplings and Bell Peppers,600,25.0,30.0,60.0,🔴 高卡
Spicy Duck,600,50.0,30.0,20.0,🔴 高卡
Mixed Ingredients Dish,150,5.0,2.0,30.0,🟡 中卡
Thai Salad and Coconut Dessert,600,25.0,20.0,80.0,🔴 高卡
Gelatin Dessert with Tofu,300,5.0,10.0,50.0,🔴 高卡
Gourmet Dessert,150,2.0,5.0,25.0,🟡 中卡
Green Pea Snack,150,7.0,5.0,20.0,🟡 中卡
Stir-fried Octopus with Celery,250,30.0,5.0,10.0,🔴 高卡
Whole Grain Crackers,200,6.0,5.0,30.0,🟡 中卡
Black Bean Rice,350,10.0,5.0,70.0,🔴 高卡
Uncooked Rice,130,2.7,0.3,28.7,🟡 中卡
Sautéed Green Bell Peppers,50,2.0,0.5,10.0,🟢 低卡
Steamed Eggs,300,25.0,15.0,20.0,🔴 高卡
Rice with Egg and Potato,600,20.0,15.0,90.0,🔴 高卡
Bear-shaped dessert,250,5.0,10.0,35.0,🔴 高卡
Cake and Frappuccino,600,8.0,25.0,85.0,🔴 高卡
Fried Shrimp with Vegetables and Rice,600,40.0,30.0,50.0,🔴 高卡
Dumplings with Tomatoes,500,25.0,20.0,60.0,🔴 高卡
Steamed Buns with Salad,400,12.0,10.0,70.0,🔴 高卡
Stir-fried meat with egg soup,600,40.0,30.0,50.0,🔴 高卡
Grilled Fish or Meat,350,25.0,15.0,30.0,🔴 高卡
Steamed Oysters with Noodles,350,25.0,15.0,30.0,🔴 高卡
Grilled Meat and Ice Cream,600,25.0,30.0,70.0,🔴 高卡
Assorted Fruits,150,1.0,0.5,35.0,🟡 中卡
Porridge with Boiled Eggs,350,15.0,10.0,50.0,🔴 高卡
Cold Tofu Salad,250,8.0,15.0,20.0,🔴 高卡
Noodle Bowl with Greens,450,15.0,20.0,55.0,🔴 高卡
Mixed Skewers in Sauce,600,30.0,20.0,70.0,🔴 高卡
Chicken Barbecue Noodle Snack,200,3.0,10.0,25.0,🟡 中卡
Ramen with Salad and Dumplings,800,35.0,30.0,90.0,🔴 高卡
Mango Compound Beverage,100,0.2,0.5,25.0,🟡 中卡
Scrambled Eggs with Tomatoes and Bread,350,15.0,20.0,30.0,🔴 高卡
Fresh Shellfish,150,25.0,2.0,0.0,🟡 中卡
Spicy Stir-Fried Chicken with Vegetables,600,40.0,25.0,50.0,🔴 高卡
Doritos Sriracha,150,2.0,8.0,18.0,🟡 中卡
Grilled Meat Skewers with Watermelon,600,40.0,30.0,50.0,🔴 高卡
Raw Radishes,50,1.5,0.1,12.0,🟢 低卡
Rolled Wafers,150,2.0,6.0,22.0,🟡 中卡
Stir-fried Broccoli and Beans,150,10.0,5.0,20.0,🟡 中卡
Mango-flavored snack,150,2.0,5.0,25.0,🟡 中卡
Chicken Curry with Rice and Naan,700,40.0,30.0,80.0,🔴 高卡
Coffee Butter Cake,200,3.0,10.0,25.0,🟡 中卡
Onion Rings and Eggs Benedict,800,25.0,45.0,70.0,🔴 高卡
Spicy Egg Soup,350,20.0,15.0,40.0,🔴 高卡
Bean Dip,150,3.0,5.0,20.0,🟡 中卡
Beef and Dumpling Stew,600,30.0,20.0,70.0,🔴 高卡
Eggs with Chives,450,20.0,30.0,25.0,🔴 高卡
Chicken and Fish Rice Plate,700,40.0,25.0,80.0,🔴 高卡
Spaghetti with meat,800,40.0,30.0,90.0,🔴 高卡
Fried Chicken and Vegetable Stir-fry,700,50.0,40.0,30.0,🔴 高卡
Fried Snack Cubes,500,10.0,25.0,65.0,🔴 高卡
Stir-fried Rice with Edamame and Meat,600,30.0,15.0,80.0,🔴 高卡
Fruit and Grain Soup,250,5.0,10.0,35.0,🔴 高卡
Stuffed Baked Cups,350,15.0,20.0,30.0,🔴 高卡
Glazed Sweet Buns,250,4.0,5.0,45.0,🔴 高卡
Stir-fried Beef and Chicken,800,50.0,30.0,70.0,🔴 高卡
Sea Grapes,50,2.0,0.5,10.0,🟢 低卡
Noodle Salad with Beef,600,30.0,20.0,70.0,🔴 高卡
Tofu and Mushroom Soup,300,15.0,10.0,40.0,🔴 高卡
Pineapple Chicken,600,30.0,25.0,50.0,🔴 高卡
Sausages and Eggs,450,20.0,30.0,10.0,🔴 高卡
Black Sesame Soup with Rice Balls,250,8.0,5.0,45.0,🔴 高卡
Spicy Chicken and Shrimp,600,40.0,30.0,20.0,🔴 高卡
Freeze-Dried Durian,150,2.0,5.0,30.0,🟡 中卡
Seaweed Rice Snack,150,3.0,5.0,25.0,🟡 中卡
Airline Snack Box,350,8.0,10.0,50.0,🔴 高卡
Fried Egg with Bread and Rice Porridge,450,15.0,20.0,50.0,🔴 高卡
Deluxe Pork and Chicken,500,30.0,20.0,50.0,🔴 高卡
Taro Pie,250,2.0,12.0,35.0,🔴 高卡
Breaded Rice Balls,300,10.0,15.0,35.0,🔴 高卡
Fried Egg Sandwich,600,25.0,30.0,50.0,🔴 高卡
Fried Chicken and Sausage Platter,600,40.0,30.0,50.0,🔴 高卡
Shrimp and Celery Stir-Fry,250,20.0,5.0,10.0,🔴 高卡
Kebabs with Flatbread,600,30.0,25.0,60.0,🔴 高卡
Mixed Squash,100,3.0,0.5,20.0,🟡 中卡
Purple Sweet Potato Snack,150,2.0,0.5,35.0,🟡 中卡
Sweet dessert with ice cream,500,6.0,20.0,70.0,🔴 高卡
Chicken Quinoa Salad,600,40.0,30.0,50.0,🔴 高卡
Fried Ube Pastry,250,4.0,12.0,30.0,🔴 高卡
Pasta with Tuna and Grilled Zucchini,600,25.0,20.0,80.0,🔴 高卡
Beef Ribs with Vegetables,600,40.0,35.0,30.0,🔴 高卡
Cold Noodles (Naengmyeon),600,30.0,15.0,80.0,🔴 高卡
Stir-fried Spinach with Eggs,250,15.0,10.0,20.0,🔴 高卡
Tofu and Fish Stew with Rice,600,30.0,20.0,80.0,🔴 高卡
Fried Sushi Skewers,300,10.0,15.0,35.0,🔴 高卡
Pepperoni Pizza and Shrimp with Avocado,800,40.0,35.0,90.0,🔴 高卡
Pickled Vegetables and Watermelon,150,2.0,1.0,35.0,🟡 中卡
Cheese Tortilla,300,10.0,15.0,30.0,🔴 高卡
Chocolate Pastry,450,6.0,20.0,60.0,🔴 高卡
Vacuum-sealed meat,500,40.0,30.0,0.0,🔴 高卡
Fried Eggplant Rolls,300,10.0,15.0,35.0,🔴 高卡
Beef Soup with Flaky Bread,600,40.0,25.0,50.0,🔴 高卡
Mixed Fruit Dish,250,10.0,5.0,45.0,🔴 高卡
Sweet Pumpkin,150,1.0,0.5,35.0,🟡 中卡
Grilled Skewers and Soup,800,50.0,30.0,70.0,🔴 高卡
Rice Noodle Roll with Pork and Congee,600,30.0,20.0,70.0,🔴 高卡
Creative Salad with Mashed Potato,600,15.0,20.0,80.0,🔴 高卡
Grilled Meat with Lime,600,50.0,40.0,10.0,🔴 高卡
Chicken Wings with Fries,600,40.0,30.0,50.0,🔴 高卡
Breadsticks,150,3.0,5.0,25.0,🟡 中卡
Fried Tofu in Sauce,300,15.0,20.0,25.0,🔴 高卡
Prunes,200,2.0,0.5,53.0,🟡 中卡
Crawfish and Salmon Platter,800,60.0,30.0,50.0,🔴 高卡
Stir-fried vegetables with rice cakes,400,20.0,15.0,50.0,🔴 高卡
Pasta with Chicken and Sauce,600,25.0,15.0,80.0,🔴 高卡
Spicy Cucumber and Beef Salad,450,30.0,25.0,15.0,🔴 高卡
Vegetable Soup with Corn,450,15.0,10.0,75.0,🔴 高卡
Mixed Vegetable Plate with Bun,600,15.0,20.0,80.0,🔴 高卡
Breaded Fried Meat,400,25.0,20.0,30.0,🔴 高卡
Raw Beef Patty,250,18.0,20.0,0.0,🔴 高卡
Almond Biscuit,150,2.0,6.0,22.0,🟡 中卡
Grilled Salmon with Sides,600,40.0,30.0,25.0,🔴 高卡
Spicy Chicken with Tomato Sauce,600,40.0,30.0,50.0,🔴 高卡
Mixed Asian Meal with Egg Tarts,800,40.0,35.0,90.0,🔴 高卡
Crispy Meat Floss,500,25.0,30.0,20.0,🔴 高卡
Soybean Snack,150,10.0,5.0,20.0,🟡 中卡
Grilled Sausage,600,25.0,45.0,10.0,🔴 高卡
Green Raisins,299,3.1,0.5,79.2,🔴 高卡
Fried Meat Platter,800,60.0,50.0,30.0,🔴 高卡
Steamed Rice Dumplings,250,15.0,10.0,30.0,🔴 高卡
Mango Slice,50,1.0,0.2,12.0,🟢 低卡
Grilled Chicken Drumstick,250,20.0,15.0,0.0,🔴 高卡
Layered Sweet Flatbread,300,5.0,10.0,45.0,🔴 高卡
Shrimp and Boiled Eggs,300,25.0,15.0,2.0,🔴 高卡
Spiced Bread,250,7.0,5.0,45.0,🔴 高卡
Fried Chicken Roll,400,25.0,20.0,30.0,🔴 高卡
Noodle Stir Fry with Meat,600,30.0,20.0,70.0,🔴 高卡
Fried Fish with Sautéed Vegetables,600,40.0,25.0,30.0,🔴 高卡
Traditional Soup,250,15.0,5.0,40.0,🔴 高卡
Spicy Nuts,250,10.0,15.0,20.0,🔴 高卡
Grilled Fruits and Corn,300,6.0,5.0,60.0,🔴 高卡
Mixed Fish Ball Soup,350,20.0,10.0,45.0,🔴 高卡
Colorful Sweet Snack,250,3.0,5.0,45.0,🔴 高卡
Canned Pineapple Slice,50,0.5,0.1,13.0,🟢 低卡
Shrimp Lettuce Wraps,350,25.0,15.0,30.0,🔴 高卡
Chicken Noodles with Broccoli,600,30.0,20.0,70.0,🔴 高卡
Sizzling Plate with Noodles,700,40.0,30.0,70.0,🔴 高卡
Fried Doughnuts,300,3.0,15.0,40.0,🔴 高卡
Fried Fish and Dumplings,350,25.0,15.0,30.0,🔴 高卡
Fruit cluster,150,1.0,0.5,35.0,🟡 中卡
Tortillas with salad and meat,400,20.0,15.0,50.0,🔴 高卡
Mixed Indian Curry Meal,800,40.0,30.0,100.0,🔴 高卡
Shrimp and Chives Stir-Fry,250,20.0,10.0,15.0,🔴 高卡
Noodle Soup with Decorative Toppings,350,12.0,10.0,50.0,🔴 高卡
Sweet Soup and Dessert,400,12.0,10.0,70.0,🔴 高卡
Orange Glazed Chicken Wings,450,35.0,25.0,20.0,🔴 高卡
Stir-fried meat with carrots and greens,350,25.0,15.0,30.0,🔴 高卡
Breakfast with fried dough sticks and soy milk,800,30.0,40.0,90.0,🔴 高卡
Rice with Black Sauce,500,15.0,10.0,80.0,🔴 高卡
